zip,city,state,latitude,longitude
39159,ROLLING FORK,MS,32.889208986,-90.89239941
39160,SALLIS,MS,33.005101874,-89.74103055
39162,SATARTIA,MS,32.627227529,-90.59461074
39166,SILVER CITY,MS,33.0547232,-90.48803271
39168,TAYLORSVILLE,MS,31.817957698,-89.4071526
39169,TCHULA,MS,33.160771461,-90.25277239
39170,TERRY,MS,32.127414004,-90.3291196
39173,TINSLEY,MS,32.734525833,-90.45849867
39175,UTICA,MS,32.10766264,-90.60297246
39176,VAIDEN,MS,33.314420166,-89.74643444
39179,VAUGHAN,MS,32.811662304,-90.09967407
39180,VICKSBURG,MS,32.296282416,-90.86038807
39183,VICKSBURG,MS,32.388014125,-90.81973399
39189,WALNUT GROVE,MS,32.611979161,-89.40671522
39191,WESSON,MS,31.708863998,-90.42228607
39192,WEST,MS,33.188342328,-89.76342753
39194,YAZOO CITY,MS,32.852398785,-90.40422019
39201,JACKSON,MS,32.298752556,-90.18574771
39202,JACKSON,MS,32.314149243,-90.17521434
39203,JACKSON,MS,32.31048758,-90.20247162
39204,JACKSON,MS,32.280618118,-90.23573464
39206,JACKSON,MS,32.368886973,-90.17061378
39208,PEARL,MS,32.269057148,-90.09106934
39209,JACKSON,MS,32.324859492,-90.25428512
39211,JACKSON,MS,32.37581086,-90.12888973
39212,JACKSON,MS,32.249288575,-90.25974526
39213,JACKSON,MS,32.355544694,-90.213762
39216,JACKSON,MS,32.337837276,-90.16986626
39218,RICHLAND,MS,32.218355489,-90.15569686
39232,FLOWOOD,MS,32.342099165,-90.06204817
39272,BYRAM,MS,32.192659328,-90.274705
39296,JACKSON,MS,32.334459,-90.175418
39301,MERIDIAN,MS,32.337189153,-88.6524129
39305,MERIDIAN,MS,32.435384677,-88.70154196
39307,MERIDIAN,MS,32.36776209,-88.7397114
39320,BAILEY,MS,32.524747356,-88.73456427
39322,BUCKATUNNA,MS,31.573328396,-88.52575327
39323,CHUNKY,MS,32.352709617,-88.92806601
39325,COLLINSVILLE,MS,32.52576843,-88.8587047
39326,DALEVILLE,MS,32.581617423,-88.67538251
39327,DECATUR,MS,32.440354296,-89.11153438
39328,DE KALB,MS,32.742772432,-88.70806253
39330,ENTERPRISE,MS,32.186825515,-88.84027111
39332,HICKORY,MS,32.324479363,-89.01213789
39335,LAUDERDALE,MS,32.508873424,-88.51451608
39336,LAWRENCE,MS,32.338133852,-89.24545664
39337,LITTLE ROCK,MS,32.51359442,-88.98850511
39338,LOUIN,MS,32.088899882,-89.24732641
39339,LOUISVILLE,MS,33.09931531,-89.03487473
39341,MACON,MS,33.119931794,-88.54566639
39342,MARION,MS,32.430053631,-88.65203414
39345,NEWTON,MS,32.315613692,-89.15094171
39346,NOXAPATER,MS,32.97216488,-89.09280198
39347,PACHUTA,MS,32.049126966,-88.93647795
39348,PAULDING,MS,32.002578937,-89.02854159
39350,PHILADELPHIA,MS,32.780739048,-89.11680632
39352,PORTERVILLE,MS,32.663974731,-88.49398074
39354,PRESTON,MS,32.88441009,-88.84055541
39355,QUITMAN,MS,32.050356345,-88.68860488
39356,ROSE HILL,MS,32.149574934,-89.0098631
39358,SCOOBA,MS,32.850372605,-88.45359259
39360,SHUBUTA,MS,31.867022714,-88.75356845
39361,SHUQUALAK,MS,32.982730372,-88.59737143
39362,STATE LINE,MS,31.42854571,-88.52155329
39363,STONEWALL,MS,32.13604633,-88.78254579
39364,TOOMSUBA,MS,32.417660107,-88.51918405
39365,UNION,MS,32.600752871,-89.12405016
39366,VOSSBURG,MS,31.940700322,-88.92007274
39367,WAYNESBORO,MS,31.672988437,-88.6561241
39401,HATTIESBURG,MS,31.308295199,-89.31113191
39402,HATTIESBURG,MS,31.314967868,-89.38956919
39421,BASSFIELD,MS,31.488875155,-89.7117698
39422,BAY SPRINGS,MS,31.955822298,-89.27599077
39423,BEAUMONT,MS,31.179098067,-88.90044357
39425,BROOKLYN,MS,31.044452836,-89.12535739
39426,CARRIERE,MS,30.622642569,-89.65114577
39427,CARSON,MS,31.501439866,-89.8172607
39428,COLLINS,MS,31.650694642,-89.56655658
39429,COLUMBIA,MS,31.265224112,-89.7902607
39437,ELLISVILLE,MS,31.594607992,-89.21284772
39439,HEIDELBERG,MS,31.859517273,-89.0024205
39440,LAUREL,MS,31.702624157,-89.14033842
39443,LAUREL,MS,31.726818785,-89.11733926
39451,LEAKESVILLE,MS,31.156538311,-88.59330476
39452,LUCEDALE,MS,30.865052027,-88.57468484
39455,LUMBERTON,MS,31.014605375,-89.46153887
39456,MC LAIN,MS,31.04085359,-88.80206556
39459,MOSELLE,MS,31.496293083,-89.30297675
39461,NEELY,MS,31.1994381,-88.73602234
39462,NEW AUGUSTA,MS,31.224107853,-89.03653208
39464,OVETT,MS,31.488997375,-89.07263991
39465,PETAL,MS,31.349965303,-89.21477044
39466,PICAYUNE,MS,30.53471675,-89.65491758
39470,POPLARVILLE,MS,30.813279153,-89.55974199
39474,PRENTISS,MS,31.61727542,-89.84912904
39475,PURVIS,MS,31.18553612,-89.41566373
39476,RICHTON,MS,31.365376104,-88.9008684
39478,SANDY HOOK,MS,31.056018787,-89.86826088
39479,SEMINARY,MS,31.544253134,-89.46103644
39480,SOSO,MS,31.720757481,-89.30458248
39481,STRINGER,MS,31.863495982,-89.24710019
39482,SUMRALL,MS,31.368143712,-89.56833581
