name,datetime,temp,feelslike,precip,preciptype,snow,snowdepth,cloudcover,visibility
"Chicago, IL",2023-01-09T00:00:00,26.5,18.5,0,,0,0,100,5.6
"Chicago, IL",2023-01-09T01:00:00,27.4,17.7,0,,0,0,100,7.3
"Chicago, IL",2023-01-09T02:00:00,27,18.6,0,,0,0,69.5,8.2
"Chicago, IL",2023-01-09T03:00:00,26.8,18,0,,0,0,50,7.4
"Chicago, IL",2023-01-09T04:00:00,26.2,18.1,0,,0,0,24.2,7
"Chicago, IL",2023-01-09T05:00:00,25.8,17.8,0,,0,0,44,5.8
"Chicago, IL",2023-01-09T06:00:00,25.2,17.1,0,,0,0,44,5.8
"Chicago, IL",2023-01-09T07:00:00,25.2,18.5,0,,0,0,44,5.8
"Chicago, IL",2023-01-09T08:00:00,25.8,18.9,0,,0,0,24.2,4.5
"Chicago, IL",2023-01-09T09:00:00,28.2,18.7,0,,0,0,24.2,5.8
"Chicago, IL",2023-01-09T10:00:00,32,25.1,0,,0,0,29.4,7.4
"Chicago, IL",2023-01-09T11:00:00,35.5,27.9,0,,0,0,24.2,9.1
"Chicago, IL",2023-01-09T12:00:00,40,32.9,0,,0,0,24.2,9.4
"Chicago, IL",2023-01-09T13:00:00,42,36.1,0,,0,0,29.4,9.9
"Chicago, IL",2023-01-09T14:00:00,43.7,37,0,,0,0,52.9,9.9
"Chicago, IL",2023-01-09T15:00:00,43.9,38.2,0,,0,0,78.4,9.9
"Chicago, IL",2023-01-09T16:00:00,42.9,37.5,0,,0,0,78.4,9.9
"Chicago, IL",2023-01-09T17:00:00,41.2,36,0,,0,0,78.4,9.1
"Chicago, IL",2023-01-09T18:00:00,39.8,34,0,,0,0,88.1,9.9
"Chicago, IL",2023-01-09T19:00:00,39,32.9,0,,0,0,88.1,9.9
"Chicago, IL",2023-01-09T20:00:00,39,32.8,0,,0,0,88.1,9.8
"Chicago, IL",2023-01-09T21:00:00,39,33.1,0,,0,0,88.1,9.8
"Chicago, IL",2023-01-09T22:00:00,38.4,31,0,,0,0,88.1,9.8
"Chicago, IL",2023-01-09T23:00:00,38.4,31.8,0,,0,0,88.1,9.9
"Chicago, IL",2023-01-10T00:00:00,39,32.1,0,,0,0,88.8,9.9
